N0	Date	close
1	04/01/2021	2590
2	05/01/2021	2730
3	06/01/2021	2650
4	07/01/2021	2640
5	08/01/2021	2650
6	11/01/2021	2540
7	12/01/2021	2500
8	13/01/2021	2510
9	14/01/2021	2450
10	15/01/2021	2550
11	18/01/2021	2470
12	19/01/2021	2350
13	20/01/2021	2530
14	21/01/2021	2530
15	22/01/2021	2420
16	25/01/2021	2420
17	26/01/2021	2490
18	27/01/2021	2410
19	28/01/2021	2290
20	29/01/2021	2550
21	01/02/2021	2800
22	02/02/2021	2630
23	03/02/2021	2570
24	04/02/2021	2480
25	05/02/2021	2460
26	08/02/2021	2510
27	09/02/2021	2550
28	10/02/2021	2560
29	11/02/2021	2580
30	15/02/2021	2540
31	16/02/2021	2550
32	17/02/2021	2560
33	18/02/2021	2650
34	19/02/2021	2630
35	22/02/2021	2830
36	23/02/2021	2750
37	24/02/2021	2680
38	25/02/2021	2730
39	26/02/2021	2830
40	01/03/2021	2840
41	02/03/2021	2670
42	03/03/2021	2750
43	04/03/2021	2620
44	05/03/2021	2600
45	08/03/2021	2550
46	09/03/2021	2460
47	10/03/2021	2500
48	12/03/2021	2490
49	15/03/2021	2470
50	16/03/2021	2420
51	17/03/2021	2410
52	18/03/2021	2440
53	19/03/2021	2410
54	22/03/2021	2370
55	23/03/2021	2340
56	24/03/2021	2260
57	25/03/2021	2270
58	26/03/2021	2330
59	29/03/2021	2300
60	30/03/2021	2200
61	31/03/2021	2150
62	01/04/2021	2240
63	05/04/2021	2250
64	06/04/2021	2310
65	07/04/2021	2300
66	08/04/2021	2300
67	09/04/2021	2180
68	12/04/2021	2180
69	13/04/2021	2140
70	14/04/2021	2210
71	15/04/2021	2190
72	16/04/2021	2430
73	19/04/2021	2380
74	20/04/2021	2280
75	21/04/2021	2280
76	22/04/2021	2280
77	23/04/2021	2270
78	26/04/2021	2340
79	27/04/2021	2440
80	28/04/2021	2430
81	29/04/2021	2560
82	30/04/2021	2620
83	03/05/2021	2490
84	04/05/2021	2560
85	05/05/2021	2550
86	06/05/2021	2600
87	07/05/2021	2660
88	10/05/2021	2770
89	11/05/2021	2710
90	17/05/2021	2590
91	18/05/2021	2630
92	19/05/2021	2630
93	20/05/2021	2500
94	21/05/2021	2480
95	24/05/2021	2450
96	25/05/2021	2550
97	27/05/2021	2610
98	28/05/2021	2600
99	31/05/2021	2700
100	02/06/2021	2750
101	03/06/2021	2720
102	04/06/2021	2600
103	07/06/2021	2700
104	08/06/2021	2680
105	09/06/2021	2850
106	10/06/2021	2820
107	11/06/2021	2790
108	14/06/2021	2850
109	15/06/2021	2890
110	16/06/2021	2910
111	17/06/2021	3080
112	18/06/2021	2870
113	21/06/2021	2890
114	22/06/2021	2950
115	23/06/2021	2900
116	24/06/2021	2860
117	25/06/2021	2890
118	28/06/2021	2880
119	29/06/2021	2860
120	30/06/2021	2940
121	01/07/2021	2930
122	02/07/2021	2930
123	05/07/2021	2910
124	06/07/2021	3130
125	07/07/2021	3010
126	08/07/2021	3050
127	09/07/2021	2980
128	12/07/2021	2950
129	13/07/2021	2940
130	14/07/2021	2970
131	15/07/2021	3050
132	16/07/2021	3020
133	19/07/2021	2930
134	21/07/2021	2840
135	22/07/2021	2890
136	23/07/2021	2930
137	26/07/2021	2860
138	27/07/2021	2830
139	28/07/2021	2880
140	29/07/2021	2970
141	30/07/2021	2960
142	02/08/2021	2890
143	03/08/2021	2910
144	04/08/2021	2870
145	05/08/2021	2830
146	06/08/2021	2690
147	09/08/2021	2620
148	10/08/2021	2580
149	12/08/2021	2790
150	13/08/2021	2820
151	16/08/2021	2720
152	18/08/2021	2700
153	19/08/2021	2670
154	20/08/2021	2640
155	23/08/2021	2730
156	24/08/2021	2700
157	25/08/2021	2700
158	26/08/2021	2700
159	27/08/2021	2690
160	30/08/2021	2810
161	31/08/2021	2820
162	01/09/2021	2790
163	02/09/2021	2820
164	03/09/2021	2800
165	06/09/2021	2860
166	07/09/2021	2820
167	08/09/2021	2730
168	09/09/2021	2770
169	10/09/2021	2820
170	13/09/2021	2810
171	14/09/2021	2740
172	15/09/2021	2720
173	16/09/2021	2710
174	17/09/2021	2720
175	20/09/2021	2710
176	21/09/2021	2630
177	22/09/2021	2720
178	23/09/2021	2650
179	24/09/2021	2650
180	27/09/2021	2650
181	28/09/2021	2590
182	29/09/2021	2530
183	30/09/2021	2520
184	01/10/2021	2460
185	04/10/2021	2810
186	05/10/2021	2630
187	06/10/2021	2670
188	07/10/2021	2650
189	08/10/2021	2740
190	11/10/2021	3090
191	12/10/2021	3010
192	13/10/2021	3060
193	14/10/2021	3090
194	15/10/2021	3250
195	18/10/2021	3320
196	19/10/2021	3320
197	21/10/2021	3250
198	22/10/2021	3210
199	25/10/2021	3220
200	26/10/2021	3190
201	27/10/2021	3240
202	28/10/2021	3120
203	29/10/2021	3160
204	01/11/2021	3100
205	02/11/2021	3100
206	03/11/2021	3130
207	04/11/2021	3110
208	05/11/2021	3090
209	08/11/2021	3130
210	09/11/2021	3250
211	10/11/2021	3280
212	11/11/2021	3280
213	12/11/2021	3430
214	15/11/2021	3400
215	16/11/2021	3500
216	17/11/2021	3480
217	18/11/2021	3450
218	19/11/2021	3710
219	22/11/2021	3750
220	23/11/2021	3620
221	24/11/2021	3620
222	25/11/2021	3650
223	26/11/2021	3550
224	29/11/2021	3740
225	30/11/2021	3660
226	01/12/2021	3710
227	02/12/2021	3690
228	03/12/2021	3650
229	06/12/2021	3660
230	07/12/2021	3780
231	08/12/2021	3840
232	09/12/2021	3870
233	10/12/2021	3700
234	13/12/2021	3740
235	14/12/2021	3610
236	15/12/2021	3630
